solution_id,model_type,regularization,learning_rate,n_estimators,max_depth,class_weight_ratio,threshold,balanced_accuracy,dp_violation,model_complexity,demographic_parity,obj1_min,obj2_min,obj3_min
215,RandomForest,1.0784642153666706,0.1532742151313575,118,2,1.4682680657104235,0.6897579230664665,0.541580430705881,0.05496258127837075,0.35288888888888886,0.9450374187216293,0.458419569294119,0.05496258127837075,0.35288888888888886
216,XGBoost,2.4370551632385427,0.006296304808966361,247,2,1.1631005662190557,0.6985335664226967,0.5420285577507982,0.04060851429272483,0.5585655937265012,0.9593914857072752,0.45797144224920183,0.04060851429272483,0.5585655937265012
217,LogisticRegression,0.03443972647656041,0.1792544227025726,397,3,3.093318524778965,0.44741053748950443,0.5409253373550786,0.10550852656115806,0.10541110455617744,0.8944914734388419,0.45907466264492136,0.10550852656115806,0.10541110455617744
218,XGBoost,8.573351203969093,0.03913888972320956,247,7,1.4682680657104235,0.5363571772752966,0.6567922742177574,0.2575144154091522,0.651684049847223,0.7424855845908478,0.34320772578224257,0.2575144154091522,0.651684049847223
219,RandomForest,0.9860891468435591,0.017923641602824468,101,4,1.2323344486727978,0.68505936587117,0.5887507513776757,0.13029076186970925,0.39351282051282055,0.8697092381302908,0.41124924862232426,0.13029076186970925,0.39351282051282055
220,RandomForest,1.2764135702006623,0.05493113837674267,50,2,1.073562706189867,0.6657195226241995,0.5316334500743278,0.030793767635872896,0.3,0.9692062323641271,0.46836654992567217,0.030793767635872896,0.3
221,XGBoost,6.685510162938969,0.1532742151313575,223,3,1.10140297366183,0.48249460358221674,0.6521004380486857,0.2716231137283769,0.46866314257355446,0.7283768862716231,0.34789956195131433,0.2716231137283769,0.46866314257355446
222,RandomForest,4.798010910675292,0.005243642585941341,113,4,1.10140297366183,0.6897579230664665,0.5516407928789193,0.07091154459575512,0.40284615384615385,0.9290884554042449,0.4483592071210807,0.07091154459575512,0.40284615384615385
223,RandomForest,0.9860891468435591,0.017923641602824468,60,2,1.1631005662190557,0.6621402567824255,0.5311853230294108,0.03337013863329653,0.30777777777777776,0.9666298613667035,0.4688146769705892,0.03337013863329653,0.30777777777777776
224,XGBoost,0.00013230608911548417,0.006296304808966361,61,3,1.5082420506075391,0.47099587516824604,0.5,0.0,0.4783091834700909,1.0,0.5,0.0,0.4783091834700909
225,RandomForest,0.01288757781723124,0.05493113837674267,79,4,1.073562706189867,0.6657195226241995,0.581373752353117,0.1174089068825911,0.37640170940170936,0.8825910931174089,0.41862624764688305,0.1174089068825911,0.37640170940170936
226,LogisticRegression,1.7624510039685515,0.010338682362776514,118,3,1.10140297366183,0.6985335664226967,0.5950083326434457,0.10661268556005397,0.05731907796765358,0.893387314439946,0.40499166735655434,0.10661268556005397,0.05731907796765358
227,RandomForest,1.7624510039685515,0.1532742151313575,61,4,1.10140297366183,0.6985335664226967,0.5466106117924002,0.0668629615998037,0.36240170940170935,0.9331370384001962,0.4533893882075998,0.0668629615998037,0.36240170940170935
228,LogisticRegression,4.798010910675292,0.005243642585941341,118,8,1.10140297366183,0.6985335664226967,0.5950083326434457,0.10661268556005397,0.05308313391653621,0.893387314439946,0.40499166735655434,0.10661268556005397,0.05308313391653621
229,RandomForest,0.007164630786905335,0.006296304808966361,61,4,1.1631005662190557,0.6897579230664665,0.5700841902938202,0.10133725923199607,0.36240170940170935,0.8986627407680039,0.4299158097061798,0.10133725923199607,0.36240170940170935
