solution_id,model_type,model_type_int,regularization,learning_rate,n_estimators,max_depth,class_weight_ratio,threshold,balanced_accuracy,dp_violation,model_complexity,demographic_parity,obj1_min,obj2_min,obj3_min
39,XGBoost,2,9.96141187132752,0.2663697672349257,286,5,1.7111459753010623,0.6521365252966635,0.6313138221097605,0.1859894491473439,0.47314203814871036,0.8140105508526561,0.3686861778902395,0.1859894491473439,0.47314203814871036
40,RandomForest,1,7.742052493098557,0.03082804719498461,119,2,1.54620826931247,0.6985536511793872,0.5425864669231849,0.056557477610109194,0.35366666666666663,0.9434425223898908,0.4574135330768151,0.056557477610109194,0.35366666666666663
41,XGBoost,2,8.858233955685257,0.0220487975412442,55,2,1.0148333433989645,0.6656936694285441,0.5091659077902118,0.013617960986382037,0.44121927097015456,0.986382039013618,0.49083409220978824,0.013617960986382037,0.44121927097015456
42,XGBoost,2,8.743113090065613,0.2976771758976532,118,2,1.533302756119917,0.6988338793372785,0.6537975617569459,0.16329284750337383,0.28935257377936885,0.8367071524966262,0.3462024382430541,0.16329284750337383,0.28935257377936885
43,LogisticRegression,0,0.2800648418488034,0.2858210013707984,106,2,1.0099598502241118,0.6844892938690673,0.5940022964261418,0.10501778922831555,0.07474873293327443,0.8949822107716845,0.4059977035738582,0.10501778922831555,0.07474873293327443
44,LogisticRegression,0,0.16809668406555112,0.25612663262384044,63,2,1.9662931267980146,0.3638728992013708,0.5474114814108263,0.12857318120476013,0.08157164390493954,0.8714268187952399,0.4525885185891737,0.12857318120476013,0.08157164390493954
45,RandomForest,1,0.05905941207192156,0.2935010902352976,58,2,1.5686642454476138,0.6989819906976688,0.5333089772984958,0.039749723960250276,0.30622222222222223,0.9602502760397498,0.4666910227015042,0.039749723960250276,0.30622222222222223
46,RandomForest,1,7.013239445842774,0.28609409990638,160,2,1.017305295621199,0.6995355508490377,0.5090543259557344,0.014354066985645933,0.38555555555555554,0.9856459330143541,0.4909456740442656,0.014354066985645933,0.38555555555555554
47,RandomForest,1,0.2563834990098579,0.07903210340503827,76,2,1.338757122803686,0.6829780804115049,0.5320797774122373,0.03177524230155809,0.3202222222222222,0.968224757698442,0.46792022258776267,0.03177524230155809,0.3202222222222222
48,RandomForest,1,1.1923652989259113,0.2953456431330237,53,2,1.2608122722500477,0.6374762708195476,0.5507463384960928,0.06465464360201204,0.30233333333333334,0.935345356397988,0.4492536615039072,0.06465464360201204,0.30233333333333334
49,RandomForest,1,9.621050996575484,0.27386156394097333,64,4,1.0035421489038894,0.655826954227572,0.5803677161358131,0.11581401055085265,0.36473504273504276,0.8841859894491474,0.41963228386418694,0.11581401055085265,0.36473504273504276
50,RandomForest,1,9.608721418701139,0.185538909715034,73,2,1.1089485520112006,0.6902944512829359,0.5274977233706353,0.025150288308183045,0.3178888888888889,0.974849711691817,0.4725022766293647,0.025150288308183045,0.3178888888888889
51,XGBoost,2,9.963207909281117,0.2718658075858373,120,5,1.7111459753010623,0.6521365252966635,0.6404833293139877,0.2278248067721752,0.37719368687502264,0.7721751932278248,0.35951667068601234,0.2278248067721752,0.37719368687502264
52,XGBoost,2,8.180260986316586,0.03082804719498461,64,2,1.1629505488820615,0.6985536511793872,0.5612548277140481,0.06232364127100969,0.4402672373066018,0.9376763587289904,0.4387451722859519,0.06232364127100969,0.4402672373066018
53,LogisticRegression,0,9.80147225903657,0.2451456727453991,74,3,1.13152732111372,0.6713564909511638,0.6198226928656014,0.14439946018893388,0.05158216930476923,0.8556005398110661,0.38017730713439857,0.14439946018893388,0.05158216930476923
54,LogisticRegression,0,1.2070219993735596,0.29983722092436454,58,2,1.0203665809972473,0.6691298647940492,0.6051802766509612,0.1178996442154337,0.059828323664330677,0.8821003557845664,0.3948197233490388,0.1178996442154337,0.059828323664330677
55,LogisticRegression,0,0.459553677453314,0.2914065372478233,125,2,1.5455599614125377,0.6536232766406606,0.6511105991944511,0.2066004171267329,0.06882043913456097,0.7933995828732671,0.34888940080554887,0.2066004171267329,0.06882043913456097
56,XGBoost,2,9.36661306077585,0.2885302731876398,58,9,1.4141753334280276,0.6546947745177377,0.629307148796176,0.17997791682002212,0.4237589919573874,0.8200220831799778,0.370692851203824,0.17997791682002212,0.4237589919573874
57,LogisticRegression,0,9.794066895225024,0.2451456727453991,74,2,1.0754874288310345,0.6981484404029354,0.5927730965398833,0.1048951048951049,0.05158330928164779,0.8951048951048951,0.4072269034601167,0.1048951048951049,0.05158330928164779
58,RandomForest,1,7.013239445842774,0.28609409990638,160,2,1.0814975106613023,0.6385280702095119,0.5411341033679717,0.050055207949944794,0.38555555555555554,0.9499447920500552,0.45886589663202826,0.050055207949944794,0.38555555555555554
59,RandomForest,1,4.405370119599695,0.18560172968864833,339,2,1.1083239575670576,0.6617190924309454,0.5274977233706353,0.029076186970923817,0.5247777777777778,0.9709238130290762,0.4725022766293647,0.029076186970923817,0.5247777777777778
60,RandomForest,1,9.671428086020196,0.07390503729159181,51,4,1.1272820774898844,0.6902944512829359,0.568966572242039,0.09262667157403998,0.3546239316239316,0.90737332842596,0.43103342775796105,0.09262667157403998,0.3546239316239316
61,XGBoost,2,8.743113090065613,0.2930087422569326,120,2,1.4833609044222433,0.6988338793372785,0.647761344453123,0.16550116550116548,0.29362872464690065,0.8344988344988346,0.35223865554687706,0.16550116550116548,0.29362872464690065
62,XGBoost,2,8.861659352567948,0.0220487975412442,55,2,1.0148333433989645,0.6646294252765367,0.5091659077902118,0.013617960986382037,0.44121927097015456,0.986382039013618,0.49083409220978824,0.013617960986382037,0.44121927097015456
63,RandomForest,1,6.145952089048276,0.049925335889580535,53,3,1.1203112014970569,0.6652208355186802,0.5475050661752267,0.06919396393080604,0.3292564102564103,0.930806036069194,0.45249493382477335,0.06919396393080604,0.3292564102564103
64,RandomForest,1,0.2563834990098579,0.0844690688663988,70,2,1.1080792747315025,0.6829780804115049,0.5274977233706353,0.025150288308183045,0.31555555555555553,0.974849711691817,0.4725022766293647,0.025150288308183045,0.31555555555555553
