solution_id,model_type,model_type_int,regularization,learning_rate,n_estimators,max_depth,class_weight_ratio,threshold,balanced_accuracy,dp_violation,eo_violation,demographic_parity,equalized_odds,obj1_min,obj2_min,obj3_min
43,XGBoost,2,1.0048583761041507,0.06960627702717746,127,7,1.2961313403705517,0.5352449085770733,0.6590329094423428,0.25248435774751565,0.2739521496672063,0.7475156422524843,0.7260478503327936,0.34096709055765717,0.25248435774751565,0.2739521496672063
44,XGBoost,2,0.987734687649054,0.06764897723116244,127,8,1.1586845175576619,0.5352449085770733,0.6509864194109198,0.22046374677953623,0.2339629429753553,0.7795362532204637,0.7660370570246446,0.34901358058908016,0.22046374677953623,0.2339629429753553
45,RandomForest,1,9.92191970333956,0.1279365030558155,332,5,2.468387100663191,0.32711005885221506,0.5008944543828264,0.002331002331002363,0.0038610038610038533,0.9976689976689976,0.9961389961389961,0.4991055456171736,0.002331002331002363,0.0038610038610038533
46,XGBoost,2,0.8436809724240012,0.0675545234235168,149,8,1.26150058303291,0.535188527971219,0.6440539480172628,0.20819531345847142,0.22219823709300235,0.7918046865415286,0.7778017629069977,0.3559460519827372,0.20819531345847142,0.22219823709300235
47,XGBoost,2,0.211395895776329,0.07311488109955852,126,8,1.7874437296331622,0.6363005411377209,0.6437210022208384,0.20291988713041342,0.22432092102896206,0.7970801128695866,0.7756790789710379,0.3562789977791616,0.20291988713041342,0.22432092102896206
48,XGBoost,2,1.4290282471360465,0.0675545234235168,142,7,1.26150058303291,0.535188527971219,0.651877274379731,0.22991044043675618,0.24713077891707141,0.7700895595632438,0.7528692210829286,0.348122725620269,0.22991044043675618,0.24713077891707141
49,XGBoost,2,1.0823832531030653,0.2692713904628547,142,7,1.26150058303291,0.535188527971219,0.6164392436911271,0.16697337749969332,0.20079150926425615,0.8330266225003067,0.7992084907357438,0.3835607563088729,0.16697337749969332,0.20079150926425615
50,XGBoost,2,1.0055884948329834,0.06769553729223936,333,6,1.347209917713175,0.5352449085770733,0.6523236017176404,0.2308919151024414,0.2325418240690772,0.7691080848975587,0.7674581759309228,0.34767639828235963,0.2308919151024414,0.2325418240690772
51,XGBoost,2,0.20584429997871959,0.05937225680781085,125,11,1.8021885835620632,0.6654552645678643,0.6191280059606297,0.1829223408170777,0.20786112610181695,0.8170776591829223,0.792138873898183,0.38087199403937033,0.1829223408170777,0.20786112610181695
52,XGBoost,2,8.92054577654471,0.06722269831492496,130,12,1.1553973379908182,0.5396379176713769,0.6507632557419651,0.21801006011532326,0.23678719194099657,0.7819899398846768,0.7632128080590035,0.34923674425803486,0.21801006011532326,0.23678719194099657
53,LogisticRegression,0,9.611157951797642,0.11257224495339815,340,14,2.4472504422135617,0.3332255647740759,0.5253812679295811,0.055576002944424,0.06652509652509653,0.944423997055576,0.9334749034749035,0.47461873207041894,0.055576002944424,0.06652509652509653
54,XGBoost,2,1.4290282471360465,0.06338481613038101,127,12,1.2606335501747175,0.5270468200036545,0.6304121688989033,0.1821862348178137,0.1779636625292319,0.8178137651821863,0.8220363374707681,0.3695878311010967,0.1821862348178137,0.1779636625292319
55,LogisticRegression,0,5.726835069750763,0.10438914589414616,135,8,4.109775592069091,0.35946616038337526,0.5089445438282647,0.011532327321800984,0.017027027027026964,0.988467672678199,0.982972972972973,0.4910554561717353,0.011532327321800984,0.017027027027026964
56,XGBoost,2,9.92191970333956,0.06540180635097477,348,5,4.590455421609473,0.33257982361281674,0.5278414674091058,0.05226352594773653,0.05705276705276707,0.9477364740522635,0.9429472329472329,0.47215853259089424,0.05226352594773653,0.05705276705276707
57,LogisticRegression,0,9.73871406561242,0.07005569959578525,329,11,2.518193087510884,0.32060122837951605,0.5203492871360542,0.03545577229787755,0.04616473616473615,0.9645442277021224,0.9538352638352638,0.4796507128639458,0.03545577229787755,0.04616473616473615
58,LogisticRegression,0,1.7325573769284675,0.04211869091700298,170,5,4.873343669166534,0.3243990621395858,0.5026833631484794,0.003067108330266133,0.004388674388674407,0.9969328916697339,0.9956113256113256,0.4973166368515206,0.003067108330266133,0.004388674388674407
59,LogisticRegression,0,1.815065946124281,0.07483973697579682,341,10,2.665049702812769,0.3183821300346049,0.5158770152219219,0.03165255796834743,0.04124839124839119,0.9683474420316526,0.9587516087516088,0.48412298477807814,0.03165255796834743,0.04124839124839119
60,LogisticRegression,0,4.962160459342061,0.019749518226050998,406,12,2.305929111178086,0.3265461414163171,0.5232576136604961,0.06097411360569249,0.06319176319176323,0.9390258863943075,0.9368082368082368,0.47674238633950394,0.06097411360569249,0.06319176319176323
